,previousYield,organicCarbon,pH,phosphorus,cu,fe,potassium,boron,zn,sulphur,electricalConductivity,nitrogen,cropNameCommon_chilli (irrigated),cropNameCommon_chilli (rainfed),cropNameCommon_foxtail millet,cropNameCommon_green gram,cropNameCommon_groundnut  (rainfed),cropNameCommon_sunflower (irrigated),cropNameCommon_sunflower (rainfed),previousCropName_chilli (rainfed),previousCropName_coriander,previousCropName_cotton,previousCropName_foxtail millet,previousCropName_green gram,previousCropName_groundnut (irrigated),previousCropName_maize,previousCropName_sorghum (irrigated),previousCropName_sorghum/jowar (irrigated),previousCropName_sunflower (irrigated),previousCropName_sunflower (rainfed),previousCropName_tomato,targetYield
0,0,0.9,7.08,28.3,0.39,7.74,319.0,0.33,0.74,20.8,0.33,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18643.872923792977
1,0,0.87,6.55,29.3,0.41,3.45,141.0,0.17,0.53,19.2,0.56,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8102.899981896398
2,0,0.77,6.31,41.2,0.15,6.64,191.0,0.33,0.6000000000000001,10.0,0.08,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27589.616478402666
3,0,0.66,8.07,38.0,0.1,10.42,176.0,0.17,0.32,8.5,0.42,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19140.09224384223
4,0,0.79,8.09,15.5,0.32,1.34,192.0,0.22,0.42,9.9,0.37,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20789.487699394
5,0,0.86,6.02,12.8,0.33,5.36,336.0,0.17,0.11,10.2,0.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15141.102699481715
6,0,0.72,6.04,25.2,0.36,5.47,159.0,0.22,0.28,3.5,0.34,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20470.2752952976
7,0,0.9,6.07,12.9,0.29,4.99,71.0,0.28,0.38,8.9,0.32,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22293.409758944
8,0,0.45,6.1,16.4,0.24,9.5,156.0,0.17,0.14,5.9,0.33,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25081.54413741452
9,0,0.73,6.98,15.4,0.22,6.92,280.0,0.17,0.35,5.5,0.24,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13681.808880648878
10,0,0.6780623174294059,7.014015594541911,35.645160662122684,0.2565920155793573,5.950671859785784,204.31877312560857,0.2505842259006816,0.4592015579357352,11.662005842259006,0.3625900681596885,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13724.480511106964
11,0,0.8,7.05,22.3,0.24,1.57,202.0,0.33,0.52,10.0,0.48,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20201.66270253204
12,0,0.56,6.2,59.8,0.32,8.17,236.0,0.17,0.61,5.7,0.07,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16930.284281602493
13,0,0.77,7.11,48.0,0.27,1.6800000000000002,142.0,0.28,0.35,10.9,0.44,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19630.683393123167
14,0,0.6780623174294059,7.014015594541911,35.645160662122684,0.2565920155793573,5.950671859785784,204.31877312560857,0.2505842259006816,0.4592015579357352,11.662005842259006,0.3625900681596885,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13724.480511106964
15,0,0.49,8.0,31.1,0.33,10.95,131.0,0.22,0.14,13.0,0.44,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21847.929939540503
16,0,0.62,8.01,31.1,0.33,2.25,328.0,0.28,0.21,17.9,0.45,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18014.962518142565
17,0,0.73,8.05,47.6,0.25,10.86,200.0,0.28,0.13,12.8,0.42,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22245.29869790695
18,0,0.75,8.09,20.6,0.2,3.52,225.0,0.17,0.11,17.0,0.42,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22367.106800509304
21,0,0.66,8.18,38.5,0.38,6.58,90.0,0.28,0.28,15.3,0.37,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11782.97512670822
22,0,0.7000000000000001,6.01,27.3,0.33,7.9,79.0,0.33,0.19,6.9,0.43,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16188.02051438035
23,0,0.51,6.04,26.0,0.28,7.49,246.0,0.22,0.27,18.8,0.4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15327.9512313775
24,0,0.6780623174294059,7.014015594541911,35.645160662122684,0.2565920155793573,5.950671859785784,204.31877312560857,0.2505842259006816,0.4592015579357352,11.662005842259006,0.3625900681596885,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19521.436873042603
25,0,0.56,6.07,15.1,0.2,9.07,141.0,0.17,0.29,19.5,0.42,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10752.897323868334
26,0,0.51,6.12,41.6,0.29,6.28,231.0,0.22,0.8,3.4,0.34,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13210.503036984253
27,0,0.77,6.7,19.5,0.34,1.82,311.0,0.28,0.15,17.0,0.48,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17264.739024110702
28,0,0.64,6.17,16.6,0.38,2.08,280.0,0.17,0.44,11.5,0.43,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13581.94471129475
29,0,0.76,7.01,21.8,0.14,10.94,263.0,0.33,0.79,7.4,0.37,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18983.430171135802
30,0,0.74,6.3,31.3,0.13,9.88,79.0,0.17,0.54,17.7,0.3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11968.01430802161
31,0,0.9,7.08,16.4,0.38,4.59,71.0,0.28,0.2,10.2,0.5,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200.586228527036
32,0,0.8300000000000001,7.11,24.5,0.18,1.57,151.0,0.28,0.19,2.9,0.47,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17734.21416727615
33,0,0.72,7.13,15.8,0.29,2.88,166.0,0.17,0.74,4.4,0.33,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20262.987890227505
34,0,0.9,7.14,13.0,0.38,7.52,291.0,0.17,0.53,8.8,0.34,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13251.97500739009
35,0,0.81,7.15,39.7,0.35,8.79,96.0,0.22,0.73,2.4,0.34,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7626.837331008429
36,0,0.52,6.3,56.3,0.31,8.63,230.0,0.28,0.74,17.4,0.36,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13966.470166010751
37,0,0.77,8.01,20.0,0.34,8.25,154.0,0.28,0.27,13.4,0.48,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14524.055988920223
38,0,0.76,8.04,59.1,0.13,2.66,283.0,0.28,0.36,4.7,0.48,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15137.127040384426
39,0,0.85,8.09,34.0,0.31,10.12,168.0,0.22,0.32,18.4,0.34,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12536.615780423232
